week,week_start,team_1,points_1,team_2,points_2,team_id1,owner1,team_id2,owner2,Consolation,Playoff,Season
16,2013-12-17,Jake's Team,71.10,Talk Dirty to Me,98.88,1,--hidden--,11,--hidden--,1,1,2013
16,2013-12-17,Talk Dirty to Me,98.88,Jake's Team,71.10,11,--hidden--,1,--hidden--,1,1,2013
16,2013-12-17,Riley KKKooper,71.34,Dirty Duke Dawgs,105.34,2,--hidden--,8,--hidden--,0,1,2013
16,2013-12-17,Dirty Duke Dawgs,105.34,Riley KKKooper,71.34,8,--hidden--,2,--hidden--,0,1,2013
16,2013-12-17,Shinnanigons,109.54,Vagina Slappers,123.08,4,--hidden--,5,--hidden--,0,1,2013
16,2013-12-17,Vagina Slappers,123.08,Shinnanigons,109.54,5,--hidden--,4,--hidden--,0,1,2013
16,2013-12-17,Jacquizz on yo face,88.28,Free Mustache Rides,101.94,10,--hidden--,12,--hidden--,1,1,2013
16,2013-12-17,Free Mustache Rides,101.94,Jacquizz on yo face,88.28,12,--hidden--,10,--hidden--,1,1,2013
1,2013-09-05,Jake's Team,75.88,Riley KKKooper,105.12,1,--hidden--,2,--hidden--,0,0,2013
1,2013-09-05,Riley KKKooper,105.12,Jake's Team,75.88,2,--hidden--,1,--hidden--,0,0,2013
1,2013-09-05,Ridley Me This,83.72,Talk Dirty to Me,133.80,3,--hidden--,11,--hidden--,0,0,2013
1,2013-09-05,Talk Dirty to Me,133.80,Ridley Me This,83.72,11,--hidden--,3,--hidden--,0,0,2013
1,2013-09-05,Shinnanigons,95.82,Jacquizz on yo face,98.36,4,--hidden--,10,--hidden--,0,0,2013
1,2013-09-05,Jacquizz on yo face,98.36,Shinnanigons,95.82,10,--hidden--,4,--hidden--,0,0,2013
1,2013-09-05,Vagina Slappers,169.68,Cleveland Steamers,116.18,5,--hidden--,9,--hidden--,0,0,2013
1,2013-09-05,Cleveland Steamers,116.18,Vagina Slappers,169.68,9,--hidden--,5,--hidden--,0,0,2013
1,2013-09-05,Brian Dawson's Team,120.90,Dirty Duke Dawgs,91.96,6,--hidden--,8,--hidden--,0,0,2013
1,2013-09-05,Dirty Duke Dawgs,91.96,Brian Dawson's Team,120.90,8,--hidden--,6,--hidden--,0,0,2013
1,2013-09-05,Johnson and Johnson,104.68,Free Mustache Rides,87.92,7,--hidden--,12,--hidden--,0,0,2013
1,2013-09-05,Free Mustache Rides,87.92,Johnson and Johnson,104.68,12,--hidden--,7,--hidden--,0,0,2013
2,2013-09-10,Jake's Team,77.38,Ridley Me This,94.30,1,--hidden--,3,--hidden--,0,0,2013
2,2013-09-10,Ridley Me This,94.30,Jake's Team,77.38,3,--hidden--,1,--hidden--,0,0,2013
2,2013-09-10,Riley KKKooper,100.24,Free Mustache Rides,114.50,2,--hidden--,12,--hidden--,0,0,2013
2,2013-09-10,Free Mustache Rides,114.50,Riley KKKooper,100.24,12,--hidden--,2,--hidden--,0,0,2013
2,2013-09-10,Shinnanigons,74.92,Talk Dirty to Me,98.38,4,--hidden--,11,--hidden--,0,0,2013
2,2013-09-10,Talk Dirty to Me,98.38,Shinnanigons,74.92,11,--hidden--,4,--hidden--,0,0,2013
2,2013-09-10,Vagina Slappers,88.58,Jacquizz on yo face,124.96,5,--hidden--,10,--hidden--,0,0,2013
2,2013-09-10,Jacquizz on yo face,124.96,Vagina Slappers,88.58,10,--hidden--,5,--hidden--,0,0,2013
2,2013-09-10,Brian Dawson's Team,98.48,Cleveland Steamers,134.12,6,--hidden--,9,--hidden--,0,0,2013
2,2013-09-10,Cleveland Steamers,134.12,Brian Dawson's Team,98.48,9,--hidden--,6,--hidden--,0,0,2013
2,2013-09-10,Johnson and Johnson,69.92,Dirty Duke Dawgs,142.90,7,--hidden--,8,--hidden--,0,0,2013
